"company","date","items","jobTitle","location","pageTitle","url"
"",,"","","","","https://www.linkedin.com/jobs/view/manager-digital-customer-experience-delivery-at-starbucks-3297030526?refId=r6pBJtIPShjhRE7k1ikU1A%3D%3D&trackingId=%2FP2oM2Ta%2F1V7jSkdTw%2Ffiw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card"
"",,"","","","
        Sign In | LinkedIn
      ","https://www.linkedin.com/jobs/view/commercialization-manager-at-monster-energy-3302351946?refId=r6pBJtIPShjhRE7k1ikU1A%3D%3D&trackingId=GeVT80DOCiOqvFXNnnXfnw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card"
"",,"","","","
        Sign In | LinkedIn
      ","https://www.linkedin.com/jobs/view/sr-customer-success-mgr-at-amazon-3296096496?refId=0o7DeGda6RWqGLWmkpsIyw%3D%3D&trackingId=AowtGecl7QMm41iD8zqS9Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card"
"",,"","Join LinkedIn","","
        Sign In | LinkedIn
      ","https://www.linkedin.com/jobs/view/finance-rotational-partner-at-starbucks-3295336209?refId=r6pBJtIPShjhRE7k1ikU1A%3D%3D&trackingId=c3%2BPvG6isNs2IZ03nCCOCQ%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card"
"",,"","Join LinkedIn","","
        Sign In | LinkedIn
      ","https://www.linkedin.com/jobs/view/games-editorial-strategist-at-netflix-3294779000?refId=r6pBJtIPShjhRE7k1ikU1A%3D%3D&trackingId=d5wm1%2Fz3orR8obyQDw3%2FPg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card"
"",,"","Join LinkedIn","","
        Sign In | LinkedIn
      ","https://www.linkedin.com/jobs/view/software-developer-i-starbucks-technology-at-starbucks-3302380436?refId=r6pBJtIPShjhRE7k1ikU1A%3D%3D&trackingId=WzRReBUu%2BH8VoxgGNXw7Qg%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card"
"",,"","Join LinkedIn","","
        Sign In | LinkedIn
      ","https://www.linkedin.com/jobs/view/publicity-assistant-at-apple-3295299425?refId=0o7DeGda6RWqGLWmkpsIyw%3D%3D&trackingId=z7LJwi%2FDG68rume3GSDbiQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card"
"",,"","Join LinkedIn","","
        Sign In | LinkedIn
      ","https://www.linkedin.com/jobs/view/benefits-manager-at-airbnb-3293235162?refId=0o7DeGda6RWqGLWmkpsIyw%3D%3D&trackingId=vNpJlD5pHbQOk87owOW9AQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card"
"",,"","Join LinkedIn","","
        Sign In | LinkedIn
      ","https://www.linkedin.com/jobs/view/onboarding-experience-program-manager-employee-capability-at-netflix-3295114158?refId=0o7DeGda6RWqGLWmkpsIyw%3D%3D&trackingId=IgNcX94jCoDU5%2FDLkbuYlA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card"
"",,"","Join LinkedIn","","
        Sign In | LinkedIn
      ","https://www.linkedin.com/jobs/view/marketing-specialist-payments-at-apple-3295802145?refId=r6pBJtIPShjhRE7k1ikU1A%3D%3D&trackingId=uSF2Dpm%2Fr5NtkPZV45YarA%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card"
